Regiao;Estado;Municipio;Revenda;CNPJ;Produto;Data da Coleta;Valor de Venda;Bandeira
SE;SP;CRUZEIRO;REDE DE POSTOS SETE ESTRELAS LTDA; 45.694.437/0005-34;ETANOL;02/01/2025;4,09;BRANCA
SE;SP;CRUZEIRO;POSTO TUPY LTDA; 45.198.199/0001-42;GASOLINA;02/01/2025;5,89;VIBRA
SE;SP;HORTOLANDIA;POSTO AMANDA COMERCIO DE COMBUSTIVEIS LTDA; 08.618.998/0001-02;GASOLINA;02/01/2025;5,79;BRANCA
SE;SP;HORTOLANDIA;POSTO AMANDA COMERCIO DE COMBUSTIVEIS LTDA; 08.618.998/0001-02;ETANOL;02/01/2025;3,85;BRANCA
SE;SP;HORTOLANDIA;AUTO POSTO BRASIL HORTOLANDIA LTDA; 07.856.709/0001-32;DIESEL S10;02/01/2025;5,97;BRANCA
SE;SP;HORTOLANDIA;AUTO POSTO BRASIL HORTOLANDIA LTDA; 07.856.709/0001-32;ETANOL;02/01/2025;3,97;BRANCA
SE;SP;HORTOLANDIA;AUTO POSTO BRASIL HORTOLANDIA LTDA; 07.856.709/0001-32;GASOLINA;02/01/2025;5,97;BRANCA
SE;SP;HORTOLANDIA;AUTO POSTO CAMPINAS MONTE MOR LTDA; 57.228.561/0001-60;GASOLINA;02/01/2025;5,89;IPIRANGA
SE;SP;HORTOLANDIA;AUTO POSTO CAMPINAS MONTE MOR LTDA; 57.228.561/0001-60;DIESEL S10;02/01/2025;5,79;IPIRANGA
SE;SP;HORTOLANDIA;AUTO POSTO CAMPINAS MONTE MOR LTDA; 57.228.561/0001-60;ETANOL;02/01/2025;3,89;IPIRANGA
SE;SP;HORTOLANDIA;CENTRO AUTOMOTIVO E ALIMENTICIO COMPANHEIRO LTDA; 03.851.298/0001-31;GASOLINA;02/01/2025;5,99;RAIZEN
SE;SP;HORTOLANDIA;CENTRO AUTOMOTIVO E ALIMENTICIO COMPANHEIRO LTDA; 03.851.298/0001-31;ETANOL;02/01/2025;3,99;RAIZEN
SE;SP;HORTOLANDIA;JONELLUS AUTO POSTO LTDA.; 02.129.098/0001-07;GASOLINA;02/01/2025;5,89;IPIRANGA
SE;SP;HORTOLANDIA;JONELLUS AUTO POSTO LTDA.; 02.129.098/0001-07;DIESEL S10;02/01/2025;5,79;IPIRANGA
SE;SP;HORTOLANDIA;JONELLUS AUTO POSTO LTDA.; 02.129.098/0001-07;ETANOL;02/01/2025;3,89;IPIRANGA
SE;SP;MARILIA;COMERCIO DERIVADOS DE PETROLEO LAR DE MENINAS LTDA; 02.804.090/0001-07;GASOLINA;02/01/2025;5,99;RAIZEN
SE;SP;MARILIA;COMERCIO DERIVADOS DE PETROLEO LAR DE MENINAS LTDA; 02.804.090/0001-07;DIESEL S10;02/01/2025;5,99;RAIZEN
SE;SP;MARILIA;COMERCIO DERIVADOS DE PETROLEO LAR DE MENINAS LTDA; 02.804.090/0001-07;ETANOL;02/01/2025;3,79;RAIZEN
SE;SP;MARILIA;POSTO CORONEL DE MARÍLIA LTDA; 03.594.939/0001-10;GASOLINA;02/01/2025;5,99;IPIRANGA
SE;SP;MARILIA;POSTO CORONEL DE MARÍLIA LTDA; 03.594.939/0001-10;ETANOL;02/01/2025;3,79;IPIRANGA
SE;SP;MARILIA;REDE LK DE POSTOS LTDA; 01.820.806/0010-80;GASOLINA;02/01/2025;5,99;RAIZEN
SE;SP;MARILIA;REDE LK DE POSTOS LTDA; 01.820.806/0010-80;DIESEL S10;02/01/2025;6,09;RAIZEN
SE;SP;MARILIA;REDE LK DE POSTOS LTDA; 01.820.806/0010-80;ETANOL;02/01/2025;3,69;RAIZEN
SE;SP;MOGI DAS CRUZES;M SUPER COMBUSTIVEIS E LUBRIFICANTES LTDA; 05.591.088/0001-87;GASOLINA;02/01/2025;5,97;VIBRA
SE;SP;MOGI DAS CRUZES;M SUPER COMBUSTIVEIS E LUBRIFICANTES LTDA; 05.591.088/0001-87;DIESEL S10;02/01/2025;5,89;VIBRA
SE;SP;MOGI DAS CRUZES;M SUPER COMBUSTIVEIS E LUBRIFICANTES LTDA; 05.591.088/0001-87;ETANOL;02/01/2025;3,97;VIBRA
SE;SP;MOGI DAS CRUZES;AUTO POSTO PORTAL DE MOGI LTDA.; 05.510.236/0001-91;GASOLINA;02/01/2025;5,79;BRANCA
SE;SP;MOGI DAS CRUZES;AUTO POSTO PORTAL DE MOGI LTDA.; 05.510.236/0001-91;ETANOL;02/01/2025;3,99;BRANCA
SE;SP;MOGI DAS CRUZES;POSTO MOMENTO QUALITY LTDA; 03.993.397/0001-58;GASOLINA;02/01/2025;5,99;VIBRA
SE;SP;MOGI DAS CRUZES;POSTO MOMENTO QUALITY LTDA; 03.993.397/0001-58;DIESEL S10;02/01/2025;6,09;VIBRA
SE;SP;MOGI DAS CRUZES;POSTO MOMENTO QUALITY LTDA; 03.993.397/0001-58;ETANOL;02/01/2025;3,99;VIBRA
SE;SP;MOGI DAS CRUZES;VIP AUTO POSTO DE MOGI LTDA; 05.260.022/0001-04;GASOLINA;02/01/2025;5,67;RAIZEN
SE;SP;MOGI DAS CRUZES;VIP AUTO POSTO DE MOGI LTDA; 05.260.022/0001-04;DIESEL S10;02/01/2025;5,99;RAIZEN
SE;SP;MOGI DAS CRUZES;VIP AUTO POSTO DE MOGI LTDA; 05.260.022/0001-04;ETANOL;02/01/2025;3,89;RAIZEN
SE;SP;MOGI DAS CRUZES;AUTO POSTO SAO MATEUS LTDA; 04.472.142/0001-02;GASOLINA;02/01/2025;5,04;BRANCA
SE;SP;MOGI DAS CRUZES;AUTO POSTO SAO MATEUS LTDA; 04.472.142/0001-02;ETANOL;02/01/2025;3,29;BRANCA
SE;SP;MOGI DAS CRUZES;AUTO POSTO TITANS LTDA; 02.599.842/0001-37;GASOLINA;02/01/2025;5,79;IPIRANGA
SE;SP;MOGI DAS CRUZES;AUTO POSTO TITANS LTDA; 02.599.842/0001-37;DIESEL S10;02/01/2025;6,19;IPIRANGA
SE;SP;MOGI DAS CRUZES;AUTO POSTO TITANS LTDA; 02.599.842/0001-37;ETANOL;02/01/2025;3,89;IPIRANGA
SE;SP;MOGI DAS CRUZES;AUTO POSTO MOGIANO LTDA; 02.518.746/0001-17;GASOLINA;02/01/2025;5,77;BRANCA
SE;SP;MOGI DAS CRUZES;AUTO POSTO MOGIANO LTDA; 02.518.746/0001-17;DIESEL S10;02/01/2025;5,69;BRANCA
